route_id,baseline,delta,budget,policy,random_seed,base_tt,base_nl,base_dist,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves,num_candidates,is_feasible,runtime_seconds,actionability_runtime_seconds
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,42,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,8,True,0.016281899999739835,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,43,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,8,True,0.019059800000832183,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,44,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,8,True,0.012029900000925409,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,45,7735.535000000002,77,39.41671152071983,92.14333333333434,0,1.1911694967876731,-0.17563841121979976,1,8,True,0.017992799999774434,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,46,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,8,True,0.020049500002642162,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,47,7735.535000000002,77,39.41671152071983,71.13333333333594,0,0.9195657874127119,-0.02194217075589841,3,8,True,0.01575049999883049,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,48,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,8,True,0.019069599999056663,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,49,7735.535000000002,77,39.41671152071983,34.280000000001564,0,0.4431496981139838,-0.2003002879036113,2,8,True,0.01955439999801456,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,50,7735.535000000002,77,39.41671152071983,25.66666666666879,0,0.3318020882417155,-0.051847637761594775,1,8,True,0.014436000001296634,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.05,Random,51,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,8,True,0.014602400002331706,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,42,7735.535000000002,77,39.41671152071983,1.9616666666670426,0,0.025359159601333874,-0.028363379645431508,1,16,True,0.0315000999980839,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,43,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,16,True,0.03219130000070436,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,44,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,16,True,0.02752669999972568,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,45,7735.535000000002,77,39.41671152071983,92.14333333333434,0,1.1911694967876731,-0.17563841121979976,1,16,True,0.030198100001143757,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,46,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,16,True,0.02761389999795938,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,47,7735.535000000002,77,39.41671152071983,71.13333333333594,0,0.9195657874127119,-0.02194217075589841,3,16,True,0.03051400000185822,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,48,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,16,True,0.03171859999929438,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,49,7735.535000000002,77,39.41671152071983,65.59333333333507,0,0.8479482457688453,-0.19912202160930112,4,16,True,0.03782540000247536,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,50,7735.535000000002,77,39.41671152071983,25.66666666666879,0,0.3318020882417155,-0.051847637761594775,1,16,True,0.025531399998726556,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.1,Random,51,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,16,True,0.03145360000053188,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,42,7735.535000000002,77,39.41671152071983,284.69500000000335,2,3.6803530718948756,-0.7670154442313272,3,33,True,0.06282090000240714,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,43,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,33,True,0.06174520000058692,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,44,7735.535000000002,77,39.41671152071983,92.14333333333434,0,1.1911694967876731,-0.17563841121979976,1,33,True,0.06053249999968102,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,45,7735.535000000002,77,39.41671152071983,146.1850000000004,0,1.889785257257583,-0.16304936422359972,5,33,True,0.06925459999911254,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,46,7735.535000000002,77,39.41671152071983,83.93000000000302,0,1.0849928285503587,-0.0164338357076284,3,33,True,0.055010500000207685,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,47,7735.535000000002,77,39.41671152071983,143.44666666667035,1,1.8543858526484633,-0.09458333283253595,4,33,True,0.06528959999923245,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,48,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,33,True,0.06368319999819505,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,49,7735.535000000002,77,39.41671152071983,65.59333333333507,0,0.8479482457688453,-0.19912202160930112,4,33,True,0.07763749999867287,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,50,7735.535000000002,77,39.41671152071983,55.05500000000302,1,0.7117154792784598,-0.08382923380697793,4,33,True,0.06237419999888516,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.2,Random,51,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,33,True,0.057113399998343084,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,42,7735.535000000002,77,39.41671152071983,351.5700000000015,2,4.544869876485614,-0.3173948582021527,4,50,True,0.09632740000233753,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,43,7735.535000000002,77,39.41671152071983,6.470000000001164,0,0.0836399809450951,-0.14260475139091716,2,50,True,0.1011858999991091,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,44,7735.535000000002,77,39.41671152071983,92.14333333333434,0,1.1911694967876731,-0.17563841121979976,1,50,True,0.09009339999829535,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,45,7735.535000000002,77,39.41671152071983,146.1850000000004,0,1.889785257257583,-0.16304936422359972,5,50,True,0.11562060000142083,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,46,7735.535000000002,77,39.41671152071983,86.91666666666879,0,1.1236025260911982,-0.057931948209045826,5,50,True,0.08699360000173328,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,47,7735.535000000002,77,39.41671152071983,145.84666666667,1,1.8854115024580713,-0.09458333283253595,5,50,True,0.09830159999910393,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,48,7735.535000000002,77,39.41671152071983,24.62000000000262,0,0.31827145763030756,-0.4820940379230447,1,50,True,0.09114970000155154,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,49,7735.535000000002,77,39.41671152071983,68.08333333333576,0,0.8801373574463272,-0.20880931119883708,6,50,True,0.11660640000263811,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,50,7735.535000000002,77,39.41671152071983,55.64166666666915,1,0.7192995270096915,-0.12532734630839537,5,50,True,0.09912980000081006,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.0,0.3,Random,51,7735.535000000002,77,39.41671152071983,0.0,0,0.0,0.0,0,50,True,0.08288230000107433,0.03408609999678447
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.02,0.05,Random,42,7735.535000000002,77,39.41671152071983,41.94500000000153,1,0.5422378671934329,0.824549663936365,1,8,True,0.030651400000351714,0.3552651000027254
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.02,0.05,Random,43,7735.535000000002,77,39.41671152071983,144.56166666666923,1,1.8687998524558314,1.739295888430958,4,8,True,0.029749000001174863,0.3552651000027254
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.02,0.05,Random,44,7735.535000000002,77,39.41671152071983,52.28500000000167,1,0.6759067084565148,1.8453162744606084,4,8,True,0.022775900000851834,0.3552651000027254
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.02,0.05,Random,45,7735.535000000002,77,39.41671152071983,168.2950000000019,1,2.1756090561286565,1.2127086981726678,4,8,True,0.02805409999928088,0.3552651000027254
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.02,0.05,Random,46,7735.535000000002,77,39.41671152071983,85.03666666666868,1,1.0992991004070003,1.1866089807703706,3,8,True,0.03536619999795221,0.3552651000027254
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.02,0.05,Random,47,7735.535000000002,77,39.41671152071983,142.60000000000127,0,1.8434406928544855,1.298867875659468,4,8,True,0.026243599997542333,0.3552651000027254
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,NearestNeighbor,0.02,0.05,Random,48,7735.535000000002,77,39.41671152071983,112.29500000000189,1,1.4516772272377008,1.8680451747748814,3,8,True,0.04002250000121421,0.3552651000027254
