threshold_H,route_id,policy,delta,budget,base_tt,base_nl,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.05,0.1,13084.141666666666,97,259.06166666667013,0,1.979966842812923,1.840131706510674,3
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.05,0.2,13084.141666666666,97,1417.2999999999993,2,10.832196991650829,4.955747982542388,23
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.05,0.2,13084.141666666666,97,1226.2283333333344,-1,9.371866833705186,4.989234903501246,18
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.05,0.2,13084.141666666666,97,145.25166666666337,1,1.1101352336829893,2.279519595605074,8
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.05,0.2,13084.141666666666,97,1227.0933333333323,1,9.378477890219514,3.953675289204703,25
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.05,0.2,13084.141666666666,97,273.8066666666655,2,2.092660517152753,4.157402968416844,9
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.05,0.2,13084.141666666666,97,625.5033333333267,-1,4.780621834192359,2.704170370446604,9
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.02,0.1,20281.168333333346,121,1832.4150000000154,4,9.035056412348439,1.1396785247952497,16
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.02,0.1,20281.168333333346,121,2049.9616666666807,3,10.107709935514134,-1.7975993911191344,16
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.02,0.1,20281.168333333346,121,72.76833333334434,0,0.35879754133170483,1.1604137689982597,2
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.02,0.1,20281.168333333346,121,70.31666666667297,-1,0.34670915161777544,0.024235226141486793,7
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.02,0.1,20281.168333333346,121,445.50500000001193,0,2.196643668046466,1.5324818196538292,4
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.02,0.1,20281.168333333346,121,306.9416666666875,1,1.5134318774042719,0.9479963190596281,4
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.02,0.2,20281.168333333346,121,2220.5700000000143,2,10.948925444055266,1.4256836968031308,27
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.02,0.2,20281.168333333346,121,2334.7850000000144,3,11.512083335764498,1.450297299586593,31
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.02,0.2,20281.168333333346,121,691.5250000000087,1,3.409690155095478,1.9642905496573204,10
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.02,0.2,20281.168333333346,121,741.3033333333369,-1,3.655131307770664,-0.002770653187296455,15
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.02,0.2,20281.168333333346,121,506.03500000000713,1,2.495097874456806,1.9713759527104766,7
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.02,0.2,20281.168333333346,121,431.6333333333532,1,2.1282468851852943,1.5351370391488235,7
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.05,0.1,20281.168333333346,121,1832.4150000000154,4,9.035056412348439,1.1396785247952497,16
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.05,0.1,20281.168333333346,121,2049.9616666666807,3,10.107709935514134,-1.7975993911191344,16
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.05,0.1,20281.168333333346,121,72.76833333334434,0,0.35879754133170483,1.1604137689982597,2
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.05,0.1,20281.168333333346,121,70.31666666667297,-1,0.34670915161777544,0.024235226141486793,7
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.05,0.1,20281.168333333346,121,463.72666666668374,1,2.286488919400765,2.2107007615505876,5
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.05,0.1,20281.168333333346,121,306.9416666666875,1,1.5134318774042719,0.9479963190596281,4
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.05,0.2,20281.168333333346,121,2419.358333333348,3,11.92908758297215,4.4673424749647515,33
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.05,0.2,20281.168333333346,121,2375.5833333333467,3,11.713246960378163,3.703641781668236,33
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.05,0.2,20281.168333333346,121,1093.8950000000114,3,5.393648837291725,3.9041735572212266,13
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.05,0.2,20281.168333333346,121,741.3033333333369,-1,3.655131307770664,-0.002770653187296455,15
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.05,0.2,20281.168333333346,121,828.088333333344,1,4.083040580913329,4.974058142235129,12
3.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Random,0.05,0.2,20281.168333333346,121,431.6333333333532,1,2.1282468851852943,1.5351370391488235,7
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.02,0.1,20048.57,119,2064.0399999999936,2,10.295198111386467,1.3063641958824272,13
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.02,0.1,20048.57,119,1489.6066666666775,2,7.429989603581092,1.4090907471240204,9
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.02,0.1,20048.57,119,557.9033333333355,0,2.782758737073694,1.7789293875138168,8
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.02,0.1,20048.57,119,79.93166666667094,0,0.39869011439055724,1.89684688375859,8
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.02,0.1,20048.57,119,171.0450000000019,0,0.8531531176537873,1.4943869359884687,7
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.02,0.1,20048.57,119,110.30000000000655,0,0.5501639269035474,1.9985997607151493,6
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.02,0.2,20048.57,119,2415.108333333337,3,12.046287258060486,1.9576547093288206,20
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.02,0.2,20048.57,119,1877.6683333333385,4,9.365597313590637,1.9675095104117202,17
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.02,0.2,20048.57,119,573.2283333333289,0,2.8591981040709085,1.8056043638187598,9
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.02,0.2,20048.57,119,221.371666666666,0,1.104176839877687,1.9390266412925738,11
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.02,0.2,20048.57,119,311.24833333333663,0,1.5524714896540583,1.9550228909434628,10
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.02,0.2,20048.57,119,291.0749999999971,0,1.4518491842560197,1.7283919656841327,8
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.05,0.1,20048.57,119,2025.7083333333358,2,10.104004092727491,4.75786723748441,11
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.05,0.1,20048.57,119,2094.051666666659,2,10.444892910899178,3.27968255517197,12
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.05,0.1,20048.57,119,557.9033333333355,0,2.782758737073694,1.7789293875138168,8
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.05,0.1,20048.57,119,79.93166666667094,0,0.39869011439055724,1.89684688375859,8
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.05,0.1,20048.57,119,307.0199999999968,0,1.5313810411415716,4.943452278838039,10
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.05,0.1,20048.57,119,210.31166666666832,0,1.0490108105798484,4.02053834845142,11
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.05,0.2,20048.57,119,2555.4366666666683,3,12.746229115925317,4.991649025275376,23
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.05,0.2,20048.57,119,2507.909999999996,3,12.509171477067921,4.9864873963450655,21
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.05,0.2,20048.57,119,575.8199999999961,0,2.872125044329825,2.013677499423038,10
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.05,0.2,20048.57,119,333.54166666667516,0,1.6636681153153323,4.878647743459133,15
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.05,0.2,20048.57,119,398.39333333332615,0,1.9871408950031157,4.901695233721979,12
3.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.05,0.2,20048.57,119,818.491666666665,1,4.082543875531596,4.869622910572953,16
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.02,0.1,7735.535000000002,77,702.6683333333358,4,9.083642350960027,1.8635461279600096,13
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.02,0.1,7735.535000000002,77,861.2283333333353,5,11.133403615048412,1.9185452431640961,12
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.02,0.1,7735.535000000002,77,64.93666666666923,0,0.8394592832515038,1.3426187036102761,4
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.02,0.1,7735.535000000002,77,220.13500000000113,0,2.845763092016274,1.913200095912901,9
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.02,0.1,7735.535000000002,77,38.405000000002474,0,0.4964750337242668,1.3842976814783108,3
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.02,0.1,7735.535000000002,77,236.70666666666693,1,3.059990894833607,1.840131706510674,3
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.02,0.2,7735.535000000002,77,963.9416666666675,5,12.461215244539224,1.6172959188946432,19
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.02,0.2,7735.535000000002,77,967.2933333333349,5,12.504543426321963,1.9357787618701605,17
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.02,0.2,7735.535000000002,77,116.37833333333401,0,1.504463923094317,1.6833593830981086,8
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.02,0.2,7735.535000000002,77,360.2983333333341,1,4.6577041320779236,1.9648942897660737,11
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.02,0.2,7735.535000000002,77,119.72500000000127,0,1.5477274681066178,1.8827061000673688,6
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.02,0.2,7735.535000000002,77,514.7450000000017,2,6.654290879687075,1.1014796419247785,5
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.05,0.1,7735.535000000002,77,1023.8283333333338,5,13.235391389649632,3.846286007249671,15
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.05,0.1,7735.535000000002,77,913.6400000000012,4,11.810947788355957,4.957568436738926,11
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.05,0.1,7735.535000000002,77,69.27666666666755,1,0.8955639999905313,2.1628208339584005,5
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.05,0.1,7735.535000000002,77,570.5250000000015,1,7.375378690678813,0.5778135005153394,12
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.05,0.1,7735.535000000002,77,38.405000000002474,0,0.4964750337242668,1.3842976814783108,3
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.05,0.1,7735.535000000002,77,236.70666666666693,1,3.059990894833607,1.840131706510674,3
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.05,0.2,7735.535000000002,77,1451.430000000002,5,18.763149542985737,0.7653872027415328,25
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.05,0.2,7735.535000000002,77,1087.500000000001,4,14.058497569980624,0.32005119583839076,17
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.05,0.2,7735.535000000002,77,174.35999999999967,1,2.2540134586683354,3.849320160076508,11
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.05,0.2,7735.535000000002,77,1153.0433333333349,4,14.905799448045087,3.953675289204703,25
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.05,0.2,7735.535000000002,77,189.93666666667013,1,2.4553785441688274,4.03144728079763,9
4.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.05,0.2,7735.535000000002,77,545.2900000000027,3,7.049156910284843,2.704170370446604,9
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RA,0.02,0.1,13805.556666666664,94,1863.1783333333333,3,13.495858068743821,-0.5088675024400579,15
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,AB,0.02,0.1,13805.556666666664,94,1863.1783333333333,3,13.495858068743821,-0.5088675024400579,15
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,RB,0.02,0.1,13805.556666666664,94,284.98666666666395,1,2.0642895722905585,1.2484948653857149,3
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Slack,0.02,0.1,13805.556666666664,94,70.31666666666752,-1,0.5093359751037507,0.024235226141486793,7
4.0,RouteID_7f5d87f0-c39f-434f-bf3f-b159ef321909,Deadline,0.02,0.1,13805.556666666664,94,442.41833333333307,0,3.2046395811155253,1.5324818196538292,4
